SPECIES,FR,TIME,SALINITY,CF,PCNKA,GNKA,MOISTURE,HEMATOCRIT,OSMOLALITY,LACTATE,GLUCOSE
G,12.5,12,0,0.31,6.9,3.1,86.5,26.8,266,6.6,61.5
G,12.5,12,0,0.28,7.9,22.2,83.2,25.5,263,NA,NA
G,12.5,12,0,0.28,6.3,3.8,89.0,19.0,256,8.1,58.8
G,12.5,12,0,0.34,9.3,5.0,83.4,30.3,282,8.2,96.1
G,12.5,12,0,0.28,7.9,17.6,89.7,23.3,267,2.2,51.8
G,12.5,12,0,0.30,8.7,10.5,83.0,25.0,290,7.1,82.3
G,12.5,12,8,0.31,6.2,8.6,87.8,24.0,283,10.4,134.0
G,12.5,12,8,0.32,6.8,3.5,90.0,26.0,279,7.9,110.0
G,12.5,12,8,0.31,5.8,4.9,89.6,23.0,280,4.5,68.7
G,12.5,12,8,0.30,6.8,14.4,89.7,27.0,278,11.6,105.0
G,12.5,12,8,0.31,8.0,14.4,89.0,26.0,274,3.4,61.3
G,12.5,12,8,0.32,8.6,4.3,NA,22.5,272,5.3,96.5
G,12.5,12,16,0.31,8.1,8.9,87.1,25.0,261,13.2,67.3
G,12.5,12,16,0.29,8.9,2.8,88.4,22.5,263,1.6,54.1
G,12.5,12,16,0.34,8.2,13.5,82.9,25.0,263,6.1,89.7
G,12.5,12,16,0.32,7.6,12.3,83.0,27.5,272,5.6,74.3
G,12.5,12,16,0.34,7.5,4.8,85.0,24.0,257,7.3,55.7
G,12.5,12,16,0.31,10.3,14.9,85.6,23.0,251,5.3,71.3
G,12.5,12,32,0.25,3.9,26.2,88.4,21.5,347,1.9,87.1
G,12.5,12,32,0.30,8.7,3.3,81.7,25.5,359,1.7,59.1
G,12.5,12,32,0.25,6.7,8.8,87.4,24.5,364,2.7,64.6
G,12.5,12,32,0.27,8.1,3.5,83.2,25.5,322,3.5,77.1
G,12.5,12,32,0.28,8.6,5.6,89.1,25.0,334,1.4,60.1
G,12.5,12,32,0.28,8.7,12.8,81.1,23.5,341,2.8,101.0
G,25.0,12,0,0.33,13.0,33.9,83.6,27.8,263,7.7,96.0
G,25.0,12,0,0.31,7.5,20.5,89.8,19.0,280,8.2,121.0
G,25.0,12,0,0.36,6.8,9.5,82.9,23.5,277,7.8,85.9
G,25.0,12,0,0.28,7.7,8.3,83.3,24.5,277,6.9,73.6
G,25.0,12,0,0.36,7.6,6.2,83.1,22.8,282,7.6,81.4
G,25.0,12,0,0.34,7.3,5.0,85.3,21.5,272,6.4,51.9
G,25.0,12,8,0.31,5.8,16.5,83.1,24.0,286,9.8,70.3
G,25.0,12,8,0.33,8.7,2.8,85.8,24.0,283,6.0,55.2
