Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Counsell, A., Cribbie, R.A.","55857638800; 6701371074","Using the errors-in-variables method in two-group pretest-posttest designs",2017,"Methodology",13,"1",,1,8,,,10.1027/1614-2241/a000122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017321279&partnerID=40&md5=f77ea196928352efca1639457869bbeb",Article,Final,,Scopus,2-s2.0-85017321279
"Bujang, M.A., Sa’at, N., Sidik, T.M.I.T.A.B.","54782220500; 57195809083; 57195808657","Determination of minimum sample size requirement for multiple linear regression and analysis of covariance based on experimental and non-experimental studies",2017,"Epidemiology Biostatistics and Public Health",14,"3",,e12117-1,e12117-9,,8,10.2427/12117,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029867642&partnerID=40&md5=2627fecb7626433c8a44ffddc5b25129",Article,Final,,Scopus,2-s2.0-85029867642
"Royston, P.","55561839500","Model selection for univariable fractional polynomials",2017,"Stata Journal",17,"3",,619,629,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029866157&partnerID=40&md5=9c27b4b985d15bd1caa34ef372b99fd5",Article,Final,,Scopus,2-s2.0-85029866157
"Harwell, M., Kohli, N., Peralta, Y.","7003297943; 55241401400; 57192110404","Experimental design and data analysis in computer simulation studies in the behavioral sciences",2017,"Journal of Modern Applied Statistical Methods",16,"2",,3,28,,,10.22237/jmasm/1509494520,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037051741&partnerID=40&md5=ef996c7bf33c871f20eff47cee132acf",Article,Final,Open Access,Scopus,2-s2.0-85037051741
"Mahmoudimanesh, M., Bahrampour, A., Farahmandinia, Z.","57193223917; 13906943400; 45561214500","Modeling leukemia in children using phase-type distribution",2017,"Journal of Kerman University of Medical Sciences",24,"1",,1,15,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011844377&partnerID=40&md5=61716e525281c1443bd7a69a76b049f8",Article,Final,,Scopus,2-s2.0-85011844377
"Besana, M.B., Padilla, P.I.P.","57200203867; 57206028226","Modeling Iloilo River water quality",2017,"Philippine Statistician",66,"1",,75,92,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040200027&partnerID=40&md5=94de2afa0a1c96bcd87685fa6b262df4",Article,Final,,Scopus,2-s2.0-85040200027
"Santos, C.F., Feitoza, A.H.P., Ré, A.H.N., Tudela, M.C., Cattuzzo, M.T., Henrique, R.S.","57201421761; 57193832454; 36455018300; 57192836241; 37096831200; 57040866000","Effects of maturation as a covariate of sex difference on motor competence in adolescents | Efeito da maturação como covariável da diferença entre sexos na competência motora em adolescentes",2017,"Journal of Physical Education (Maringa)",28,"1", e2830,,,,1,10.4025/jphyseduc.v28i1.2830,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044755148&partnerID=40&md5=4f45fcbc34d3806bd150007f72f78397",Article,Final,Open Access,Scopus,2-s2.0-85044755148
"Tyler, J.C., Cuellar, J.P., Mason, R.L.","57197468939; 7003694650; 7403491260","Effects of micronic filtration on turbine engine lubricant deposition.",2017,"[No title available]",,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040801064&partnerID=40&md5=2c725baaa08e10456439a48ceb2a7b55",Article,Final,,Scopus,2-s2.0-85040801064
"Zellner, E.G., Mhlaba, J.M., Reid, R.R., Steinbacher, D.M.","6505574780; 57016802100; 7401757947; 6508306044","Does Mandibular Distraction Vector Influence Airway Volumes and Outcome?",2017,"Journal of Oral and Maxillofacial Surgery",75,"1",,167,177,,9,10.1016/j.joms.2016.07.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85005914686&partnerID=40&md5=83a3dcd577f3135f9c2d6aca925e6ffc",Article,Final,,Scopus,2-s2.0-85005914686
"Koloor, A.H.R.","57204537069","The efficiency of cognitive behavioral therapy on the spiritual well-being",2017,"International Journal of Economic Perspectives",11,"4",,458,463,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056024317&partnerID=40&md5=4f040ec3e3ac04550e7b01a0742ec1b5",Article,Final,,Scopus,2-s2.0-85056024317
