Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Plasma levels of protein C pathway proteins and brain MRI volumes in multiple sclerosis.","/pubmed/31408242","Ziliotto N, Zivadinov R, Baroni M, Marchetti G, Jakimovski D, Bergsland N, Ramasamy DP, Weinstock-Guttman B, Straudi S, Manfredini F, Ramanathan M, Bernardi F.","Eur J Neurol. 2019 Aug 13. doi: 10.1111/ene.14058. [Epub ahead of print]","Eur J Neurol.  2019","PubMed","citation","PMID:31408242","pubmed","31408242","create date:2019/08/14 | first author:Ziliotto N",
"High-intensity interval training can modulate the systemic inflammation and HSP70 in the breast cancer: a randomized control trial.","/pubmed/31401675","Alizadeh AM, Isanejad A, Sadighi S, Mardani M, Kalaghchi B, Hassan ZM.","J Cancer Res Clin Oncol. 2019 Aug 10. doi: 10.1007/s00432-019-02996-y. [Epub ahead of print]","J Cancer Res Clin Oncol.  2019","PubMed","citation","PMID:31401675","pubmed","31401675","create date:2019/08/12 | first author:Alizadeh AM",
"Placental proteases PAPP-A and PAPP-A2, the binding proteins they cleave (IGFBP-4 and -5), and IGF-I and IGF-II: levels in umbilical cord blood and associations with birth weight and length.","/pubmed/31401027","DiPrisco B, Kumar A, Kalra B, Savjani GV, Michael Z, Farr O, Papathanasiou A, Christou H, Mantzoros C.","Metabolism. 2019 Aug 8:153959. doi: 10.1016/j.metabol.2019.153959. [Epub ahead of print]","Metabolism.  2019","PubMed","citation","PMID:31401027","pubmed","31401027","create date:2019/08/12 | first author:DiPrisco B",
"Examination of Retinal Vascular Trajectory in Schizophrenia and Bipolar Disorder.","/pubmed/31400288","Appaji A, Nagendra B, Chako DM, Padmanabha A, Jacob A, Hiremath CV, Varambally S, Muralidharan K, Venkatasubramanian G, Rao SV, Webers CAB, Berendschot TTJM, Rao NP.","Psychiatry Clin Neurosci. 2019 Aug 10. doi: 10.1111/pcn.12921. [Epub ahead of print]","Psychiatry Clin Neurosci.  2019","PubMed","citation","PMID:31400288","pubmed","31400288","create date:2019/08/11 | first author:Appaji A",
"Three-dimensional evaluation of mandibular volume in patients with cleft lip and palate during the deciduous dentition period.","/pubmed/31398065","Shrestha A, Takahashi M, Yamaguchi T, Adel M, Furuhata M, Hikita Y, Yoshida H, Nakawaki T, Maki K.","Angle Orthod. 2019 Aug 12. doi: 10.2319/112618-831.1. [Epub ahead of print]","Angle Orthod.  2019","PubMed","citation","PMID:31398065","pubmed","31398065","create date:2019/08/10 | first author:Shrestha A",
"Longitudinal analysis of pre- and post-treatment measurements with equal baseline assumptions in randomized trials.","/pubmed/31394012","Funatogawa I, Funatogawa T.","Biom J. 2019 Aug 8. doi: 10.1002/bimj.201800389. [Epub ahead of print]","Biom J.  2019","PubMed","citation","PMID:31394012","pubmed","31394012","create date:2019/08/09 | first author:Funatogawa I",
"High Levels of Physical Fitness Are Associated With Better Health-Related Quality of Life in Women With Fibromyalgia: The al-Ándalus Project.","/pubmed/31392995","Álvarez-Gallardo IC, Soriano-Maldonado A, Segura-Jiménez V, Estévez-López F, Camiletti-Moirón D, Aparicio VA, Herrador-Colmenero M, Castro-Piñero J, Ortega FB, Delgado-Fernández M, Carbonell-Baeza A.","Phys Ther. 2019 Aug 8. pii: pzz113. doi: 10.1093/ptj/pzz113. [Epub ahead of print]","Phys Ther.  2019","PubMed","citation","PMID:31392995","pubmed","31392995","create date:2019/08/09 | first author:Álvarez-Gallardo IC",
"Effects of coenzyme Q10 supplementation on matrix metalloproteinases and DAS-28 in patients with rheumatoid arthritis: a randomized, double-blind, placebo-controlled clinical trial.","/pubmed/31392559","Nachvak SM, Alipour B, Mahdavi AM, Aghdashi MA, Abdollahzad H, Pasdar Y, Samadi M, Mostafai R.","Clin Rheumatol. 2019 Aug 7. doi: 10.1007/s10067-019-04723-x. [Epub ahead of print]","Clin Rheumatol.  2019","PubMed","citation","PMID:31392559","pubmed","31392559","create date:2019/08/09 | first author:Nachvak SM",
"The impact of diurnal variation of PSA on timing of measurement in prostate biopsy.","/pubmed/31390085","Uzun H, Arpa M.","Prostate. 2019 Aug 7. doi: 10.1002/pros.23891. [Epub ahead of print]","Prostate.  2019","PubMed","citation","PMID:31390085","pubmed","31390085","create date:2019/08/08 | first author:Uzun H",
"Cultural differences in positive psychotic experiences assessed with the Community Assessment of Psychic Experiences-42 (CAPE-42): a comparison of student populations in the Netherlands, Nigeria and Norway.","/pubmed/31387566","Vermeiden M, Janssens M, Thewissen V, Akinsola E, Peeters S, Reijnders J, Jacobs N, van Os J, Lataster J.","BMC Psychiatry. 2019 Aug 6;19(1):244. doi: 10.1186/s12888-019-2210-8.","BMC Psychiatry.  2019","PubMed","citation","PMID:31387566 | PMCID:PMC6685165","pubmed","31387566","create date:2019/08/08 | first author:Vermeiden M",
"Effectiveness of a Dog-Assisted Therapy Program to Enhance Quality of Life in Institutionalized Dementia Patients.","/pubmed/31387390","Briones MÁ, Pardo-García I, Escribano-Sotos F.","Clin Nurs Res. 2019 Aug 6:1054773819867250. doi: 10.1177/1054773819867250. [Epub ahead of print]","Clin Nurs Res.  2019","PubMed","citation","PMID:31387390","pubmed","31387390","create date:2019/08/08 | first author:Briones MÁ",
"Does traditional asian vegetables (ulam) consumption correlate with brain activity using fMRI? A study among aging adults from low-income households.","/pubmed/31386268","You YX, Shahar S, Mohamad M, Yahya HM, Haron H, Abdul Hamid H.","J Magn Reson Imaging. 2019 Aug 6. doi: 10.1002/jmri.26891. [Epub ahead of print]","J Magn Reson Imaging.  2019","PubMed","citation","PMID:31386268","pubmed","31386268","create date:2019/08/07 | first author:You YX",
"Cardiorespiratory fitness and health-related quality of life in adolescents: A longitudinal analysis from the LabMed Physical Activity Study.","/pubmed/31385406","Evaristo OS, Moreira C, Lopes L, Abreu S, Agostinis-Sobrinho C, Oliveira-Santos J, Oliveira A, Mota J, Santos R.","Am J Hum Biol. 2019 Aug 5:e23304. doi: 10.1002/ajhb.23304. [Epub ahead of print]","Am J Hum Biol.  2019","PubMed","citation","PMID:31385406","pubmed","31385406","create date:2019/08/07 | first author:Evaristo OS",
