Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Kim, S.-J., Kim, M.J., Yoon, S.G., Myong, J.P., Yu, H.W., Chai, Y.J., Choi, J.Y., Lee, K.E.","57189704131;35201315500;57193558764;54783064000;56680335500;55967131900;50461383200;35201079600;","Impact of smoking on thyroid gland: dose-related effect of urinary cotinine levels on thyroid function and thyroid autoimmunity",2019,"Scientific Reports","9","1", 4213,"","",,,"10.1038/s41598-019-40708-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062874095&doi=10.1038%2fs41598-019-40708-1&partnerID=40&md5=ec204b316b5f610c533ab634a74b18dd",Article,"Final",Open Access,Scopus,2-s2.0-85062874095
"Cappagli, G., Finocchietti, S., Cocchi, E., Giammari, G., Zumiani, R., Cuppone, A.V., Baud-Bovy, G., Gori, M.","55908481600;36135330800;36720328200;6506351295;57207202442;56940664200;7801423819;23491803400;","Audio motor training improves mobility and spatial cognition in visually impaired children",2019,"Scientific Reports","9","1", 3303,"","",,,"10.1038/s41598-019-39981-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062273877&doi=10.1038%2fs41598-019-39981-x&partnerID=40&md5=ebdbef6e7ee6f000764997df2865984d",Article,"Final",Open Access,Scopus,2-s2.0-85062273877
"Petursdottir Maack, H., Skalkidou, A., Sjöholm, A., Eurenius-Orre, K., Mulic-Lutvica, A., Wikström, A.-K., Sundström Poromaa, I.","57208344688;6603566560;57208341772;57208342478;56026494300;12761379400;6602333740;","Maternal body mass index moderates antenatal depression effects on infant birthweight",2019,"Scientific Reports","9","1", 6213,"","",,,"10.1038/s41598-019-42360-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064544562&doi=10.1038%2fs41598-019-42360-1&partnerID=40&md5=dc8f3f43b8920853066a0d83a60d4e00",Article,"Final",Open Access,Scopus,2-s2.0-85064544562
"Uchiyama, K., Washida, N., Morimoto, K., Muraoka, K., Kasai, T., Yamaki, K., Miyashita, K., Wakino, S., Itoh, H.","57188550920;35082851200;47161362800;8580839000;56650609000;57205582387;7202708395;6701531383;55498303500;","Home-based Aerobic Exercise and Resistance Training in Peritoneal Dialysis Patients: A Randomized Controlled Trial",2019,"Scientific Reports","9","1", 2632,"","",,,"10.1038/s41598-019-39074-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062015122&doi=10.1038%2fs41598-019-39074-9&partnerID=40&md5=022b3640fd3dd1e57b8682bcc06c3d9a",Article,"Final",Open Access,Scopus,2-s2.0-85062015122
"van Bijnen, S., Kärkkäinen, S., Helenius, P., Parviainen, T.","57204609825;7004082253;55882562800;8524530600;","Left hemisphere enhancement of auditory activation in language impaired children",2019,"Scientific Reports","9","1", 9087,"","",,1,"10.1038/s41598-019-45597-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067873473&doi=10.1038%2fs41598-019-45597-y&partnerID=40&md5=12971c5ec60b4c8e7e90546fff2d8d15",Article,"Final",Open Access,Scopus,2-s2.0-85067873473
"Pallauf, K., Chin, D., Günther, I., Birringer, M., Lüersen, K., Schultheiß, G., Vieten, S., Krauß, J., Bracher, F., Danylec, N., Soukup, S.T., Kulling, S.E., Rimbach, G.","24068877200;55229519800;57207830803;6602447974;6603373812;7003281986;57207828615;56264695000;56216642600;57201943753;54682384700;6603139876;7003526668;","Resveratrol, lunularin and dihydroresveratrol do not act as caloric restriction mimetics when administered intraperitoneally in mice",2019,"Scientific Reports","9","1", 4445,"","",,,"10.1038/s41598-019-41050-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063010222&doi=10.1038%2fs41598-019-41050-2&partnerID=40&md5=3289aa7d431e4dc6ce22a9d8755c844a",Article,"Final",Open Access,Scopus,2-s2.0-85063010222
"Takeuchi, H., Taki, Y., Nouchi, R., Yokoyama, R., Kotozaki, Y., Nakagawa, S., Sekiguchi, A., Iizuka, K., Yamamoto, Y., Hanawa, S., Araki, T., Miyauchi, C.M., Sakaki, K., Sassa, Y., Nozawa, T., Ikeda, S., Yokota, S., Daniele, M., Kawashima, R.","35424418300;35729609800;16480937500;55356440400;51565647600;55222095100;35424399800;55356236400;55971904100;55660327200;56037026100;54879801600;56720985300;8386305200;55175055700;56085698100;56506409800;57207931385;7005986241;","Empathizing associates with mean diffusivity",2019,"Scientific Reports","9","1", 8856,"","",,,"10.1038/s41598-019-45106-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067596866&doi=10.1038%2fs41598-019-45106-1&partnerID=40&md5=96fb364ccf897cadbf1d0d425229d64e",Article,"Final",Open Access,Scopus,2-s2.0-85067596866
"Jin, M.J., Jeon, H., Hyun, M.H., Lee, S.-H.","57195402252;57200962109;55560366900;56739411100;","Influence of childhood trauma and brain-derived neurotrophic factor Val66Met polymorphism on posttraumatic stress symptoms and cortical thickness",2019,"Scientific Reports","9","1", 6028,"","",,1,"10.1038/s41598-019-42563-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064459885&doi=10.1038%2fs41598-019-42563-6&partnerID=40&md5=a72e68c4bc237e9b1f877dc7e6acf2fe",Article,"Final",Open Access,Scopus,2-s2.0-85064459885
"Kravchenko, A.N., Guber, A.K., Razavi, B.S., Koestel, J., Quigley, M.Y., Robertson, G.P., Kuzyakov, Y.","7202732142;7004066892;56644334000;26027032700;57190622488;57209915037;55549790500;","Microbial spatial footprint as a driver of soil carbon stabilization",2019,"Nature Communications","10","1", 3121,"","",,,"10.1038/s41467-019-11057-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069444446&doi=10.1038%2fs41467-019-11057-4&partnerID=40&md5=e80a549d98a3cf57d3f72e0a6a3c8c5c",Article,"Final",Open Access,Scopus,2-s2.0-85069444446
"Snyder, K.T., Creanza, N.","57206782483;36007084500;","Polygyny is linked to accelerated birdsong evolution but not to larger song repertoires",2019,"Nature Communications","10","1", 884,"","",,1,"10.1038/s41467-019-08621-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061992827&doi=10.1038%2fs41467-019-08621-3&partnerID=40&md5=5479e8fb0d982fcc7a48fbe4b209a055",Article,"Final",Open Access,Scopus,2-s2.0-85061992827
